2025-07-08 17:03:58,614 - WARNING - Пропускаем запись с serialno: S10, начинается на 'S'.
2025-07-08 17:03:58,614 - WARNING - Пропускаем запись с serialno: S53, начинается на 'S'.
2025-07-08 17:03:58,614 - WARNING - Пропускаем запись с serialno: S79, начинается на 'S'.
2025-07-08 17:03:58,615 - WARNING - Пропускаем запись с serialno: S74, начинается на 'S'.
2025-07-08 17:03:58,615 - WARNING - Пропускаем запись с serialno: S210, начинается на 'S'.
2025-07-08 17:03:58,615 - WARNING - Пропускаем запись с serialno: S161, начинается на 'S'.
2025-07-08 17:03:58,616 - WARNING - Пропускаем запись с serialno: S118, начинается на 'S'.
2025-07-08 17:03:58,616 - WARNING - Пропускаем запись с serialno: S116, начинается на 'S'.
2025-07-08 17:03:58,617 - WARNING - Пропускаем запись с serialno: S215, начинается на 'S'.
2025-07-08 17:03:58,617 - WARNING - Пропускаем запись с serialno: S164, начинается на 'S'.
2025-07-08 17:03:58,618 - WARNING - Пропускаем запись с serialno: S115, начинается на 'S'.
2025-07-08 17:03:58,618 - WARNING - Пропускаем запись с serialno: S216, начинается на 'S'.
2025-07-08 17:03:58,619 - WARNING - Пропускаем запись с serialno: S167, начинается на 'S'.
2025-07-08 17:03:58,619 - WARNING - Пропускаем запись с serialno: S218, начинается на 'S'.
2025-07-08 17:03:58,620 - WARNING - Пропускаем запись с serialno: S169, начинается на 'S'.
2025-07-08 17:03:58,620 - WARNING - Пропускаем запись с serialno: S104, начинается на 'S'.
2025-07-08 17:03:58,620 - WARNING - Пропускаем запись с serialno: S5, начинается на 'S'.
2025-07-08 17:03:58,621 - WARNING - Пропускаем запись с serialno: S178, начинается на 'S'.
2025-07-08 17:03:58,621 - WARNING - Пропускаем запись с serialno: S209, начинается на 'S'.
2025-07-08 17:03:58,622 - WARNING - Пропускаем запись с serialno: S207, начинается на 'S'.
2025-07-08 17:03:58,622 - WARNING - Пропускаем запись с serialno: S176, начинается на 'S'.
2025-07-08 17:03:58,622 - WARNING - Пропускаем запись с serialno: S107, начинается на 'S'.
2025-07-08 17:03:58,623 - WARNING - Пропускаем запись с serialno: S109, начинается на 'S'.
2025-07-08 17:03:58,623 - WARNING - Пропускаем запись с serialno: S6, начинается на 'S'.
2025-07-08 17:03:58,624 - WARNING - Пропускаем запись с serialno: S204, начинается на 'S'.
